text,label
deadline soon.,1
happy,0
easy day.,0
busy week.,1
not stressed.,0
chilling,0
busy week.,1
up all night,1
not stressed!!!,0
need sleep.,1
so tired,1
scared of failing.,1
collapsing,2
feeling solid.,0
finished my hw,0
collapsing,2
failed everything.,2
stressed out.,1
help me.,2
anxious!!!,1
failed everything,2
so tired,1
balanced life.,0
feeling solid,0
im done.,2
anxious.,1
stressed out.,1
all good,0
nothing matters,2
numb.,2
stressed out.,1
love this class!!!,0
i feel great,0
slept well.,0
slept well.,0
stressed out!!!,1
busy week.,1
deadline soon.,1
not stressed.,0
scared of failing,1
no energy,2
ready for the test.,0
im done,2
scared of failing.,1
balanced life!!!,0
need sleep.,1
i give up,2
stressed out.,1
im good,0
chilling.,0
nothing matters.,2
not stressed.,0
im good.,0
so tired.,1
head hurts.,1
busy week,1
cant focus.,1
rushing.,1
coffee addict,1
empty!!!,2
im done,2
nothing matters.,2
doing okay.,0
numb.,2
busy week,1
grinding,1
so tired.,1
help me,2
coffee addict!!!,1
balanced life!!!,0
help me.,2
chilling,0
im good.,0
doing okay.,0
deadline soon,1
im good.,0
cant focus.,1
balanced life!!!,0
deadline soon.,1
coffee addict.,1
nothing matters!!!,2
stressed out,1
no energy,2
hate my life,2
crying.,2
coffee addict.,1
im done,2
deadline soon,1
up all night,1
busy week.,1
im good.,0
empty,2
easy day.,0
not stressed,0
need sleep,1
collapsing,2
doing okay,0
im good,0
empty!!!,2
chilling,0
need sleep.,1
watching netflix!!!,0
cant do this anymore!!!,2
crying,2
deadline soon!!!,1
balanced life.,0
head hurts.,1
rushing.,1
up all night,1
so depressed!!!,2
stressed out,1
im tired.,1
easy day.,0
need sleep!!!,1
help me,2
im tired.,1
cant focus,1
grinding.,1
rushing.,1
so depressed,2
i feel great,0
all good.,0
cant do this anymore.,2
up all night!!!,1
love this class,0
scared of failing,1
numb.,2
so tired.,1
head hurts.,1
im good.,0
so tired.,1
up all night.,1
slept well,0
im good,0
all good.,0
no energy!!!,2
anxious!!!,1
cant do this anymore.,2
numb.,2
no energy,2
chilling.,0
coffee addict.,1
stressed out.,1
not stressed,0
easy day,0
im tired,1
empty,2
scared of failing.,1
im tired.,1
anxious,1
deadline soon.,1
easy day.,0
failed everything.,2
deadline soon,1
broken.,2
balanced life.,0
failed everything.,2
help me,2
all good.,0
easy day.,0
im done.,2
need sleep!!!,1
up all night,1
feeling solid.,0
scared of failing,1
i give up,2
too much homework,1
chilling.,0
i feel great.,0
not stressed,0
rushing,1
love this class.,0
empty!!!,2
too much homework!!!,1
rushing.,1
cant do this anymore!!!,2
scared of failing.,1
im tired,1
slept well.,0
happy,0
stressed out,1
cant focus,1
empty!!!,2
cant focus,1
failed everything.,2
failed everything.,2
need sleep,1
help me.,2
ready for the test,0
too much homework,1
crying,2
help me,2
all good,0
so depressed.,2
not stressed.,0
stressed out.,1
feeling solid.,0
numb,2
balanced life.,0
not stressed.,0
im good.,0
busy week.,1
crying.,2
love this class.,0
stressed out.,1
i give up.,2
scared of failing,1
help me,2
love this class.,0
feeling solid.,0
love this class,0
chilling,0
doing okay.,0
help me,2
empty.,2
failed everything.,2
failed everything.,2
im tired!!!,1
so tired.,1
failed everything,2
im done!!!,2
i feel great,0
too much homework!!!,1
broken.,2
so depressed,2
feeling solid.,0
up all night!!!,1
deadline soon,1
stressed out!!!,1
help me.,2
doing okay.,0
im done.,2
head hurts,1
happy.,0
love this class.,0
i give up!!!,2
so tired,1
cant do this anymore,2
empty,2
empty.,2
slept well,0
love this class!!!,0
balanced life.,0
watching netflix.,0
happy.,0
head hurts,1
empty,2
nothing matters.,2
finished my hw!!!,0
i give up!!!,2
all good.,0
failed everything.,2
happy.,0
so depressed.,2
i feel great.,0
hate my life.,2
im done,2
im done,2
nothing matters,2
im good.,0
busy week.,1
cant do this anymore.,2
coffee addict,1
cant focus!!!,1
no energy.,2
slept well.,0
feeling solid,0
love this class,0
watching netflix,0
finished my hw,0
im good,0
rushing.,1
all good,0
finished my hw.,0
broken.,2
no energy.,2
ready for the test.,0
not stressed,0
collapsing.,2
up all night,1
love this class.,0
i give up,2
too much homework.,1
all good!!!,0
failed everything.,2
coffee addict.,1
im good!!!,0
busy week,1
anxious.,1
watching netflix.,0
all good!!!,0
rushing,1
collapsing.,2
head hurts.,1
need sleep!!!,1
scared of failing,1
grinding.,1
cant focus.,1
easy day,0
numb,2
i give up.,2
feeling solid.,0
broken.,2
cant focus,1
scared of failing,1
failed everything.,2
empty,2
finished my hw!!!,0
doing okay,0
love this class.,0
so depressed.,2
love this class.,0
busy week.,1
broken.,2
crying!!!,2
head hurts.,1
busy week.,1
anxious.,1
need sleep,1
feeling solid.,0
so tired.,1
happy,0
feeling solid.,0
nothing matters.,2
collapsing,2
grinding,1
chilling.,0
slept well,0
no energy.,2
empty,2
hate my life!!!,2
broken.,2
help me,2
balanced life.,0
im tired,1
cant focus,1
love this class.,0
chilling,0
scared of failing.,1
balanced life.,0
stressed out.,1
rushing,1
grinding,1
busy week,1
coffee addict.,1
happy.,0
hate my life,2
hate my life,2
im good!!!,0
ready for the test.,0
chilling,0
i feel great,0
cant focus!!!,1
grinding,1
chilling.,0
nothing matters!!!,2
head hurts!!!,1
ready for the test.,0
i give up!!!,2
i feel great.,0
deadline soon!!!,1
stressed out!!!,1
happy.,0
i feel great.,0
cant focus.,1
crying,2
i give up,2
cant focus.,1
im tired,1
watching netflix.,0
want to drop out,2
hate my life.,2
no energy.,2
up all night.,1
coffee addict.,1
so tired.,1
i feel great.,0
need sleep.,1
doing okay!!!,0
crying!!!,2
broken,2
im tired,1
ready for the test.,0
finished my hw!!!,0
too much homework.,1
so tired.,1
finished my hw,0
love this class.,0
grinding.,1
cant do this anymore.,2
want to drop out.,2
nothing matters.,2
slept well!!!,0
head hurts,1
so tired.,1
coffee addict,1
not stressed!!!,0
deadline soon,1
chilling.,0
im tired.,1
anxious.,1
scared of failing!!!,1
watching netflix.,0
too much homework,1
deadline soon.,1
nothing matters,2
happy.,0
want to drop out,2
not stressed,0
broken.,2
anxious.,1
not stressed,0
busy week,1
cant focus.,1
help me,2
rushing,1
i give up.,2
so depressed,2
crying.,2
stressed out.,1
ready for the test,0
chilling.,0
head hurts,1
cant do this anymore.,2
rushing,1
crying.,2
love this class.,0
im done,2
watching netflix!!!,0
need sleep.,1
cant focus,1
head hurts.,1
watching netflix.,0
no energy.,2
up all night.,1
numb!!!,2
help me!!!,2
so tired,1
broken,2
nothing matters.,2
busy week,1
finished my hw,0
i give up.,2
stressed out.,1
grinding.,1
up all night.,1
up all night,1
collapsing,2
i feel great.,0
so depressed.,2
numb.,2
collapsing.,2
up all night,1
rushing.,1
im good.,0
head hurts.,1
head hurts!!!,1
im tired,1
grinding,1
grinding.,1
grinding.,1
easy day.,0
collapsing!!!,2
watching netflix.,0
hate my life!!!,2
easy day,0
stressed out.,1
watching netflix!!!,0
deadline soon.,1
head hurts.,1
too much homework.,1
collapsing,2
numb,2
i give up.,2
need sleep.,1
failed everything.,2
rushing.,1
want to drop out,2
busy week.,1
love this class,0
feeling solid,0
im tired!!!,1
im done!!!,2
all good.,0
so tired,1
broken,2
chilling.,0
i give up.,2
cant focus.,1
ready for the test.,0
chilling.,0
grinding,1
empty.,2
numb,2
numb.,2
im tired.,1
hate my life.,2
scared of failing.,1
so tired,1
doing okay,0
im tired,1
coffee addict.,1
need sleep,1
ready for the test,0
feeling solid.,0
balanced life,0
im good,0
coffee addict.,1
help me.,2
rushing.,1
empty!!!,2
grinding.,1
easy day,0
chilling.,0
doing okay.,0
balanced life,0
deadline soon.,1
im good,0
watching netflix.,0
empty,2
slept well!!!,0
im done!!!,2
nothing matters,2
numb,2
numb,2
busy week,1
i feel great.,0
stressed out,1
doing okay,0
hate my life.,2
chilling!!!,0
head hurts,1
head hurts,1
failed everything.,2
feeling solid.,0
ready for the test.,0
collapsing,2
crying.,2
cant do this anymore.,2
need sleep.,1
numb.,2
so tired,1
happy.,0
stressed out,1
ready for the test,0
no energy.,2
anxious.,1
slept well.,0
failed everything,2
scared of failing,1
chilling,0
i feel great.,0
crying,2
stressed out,1
finished my hw,0
so depressed.,2
rushing.,1
so tired.,1
anxious.,1
numb.,2
grinding.,1
failed everything,2
i give up!!!,2
not stressed!!!,0
finished my hw.,0
happy.,0
want to drop out,2
so depressed!!!,2
hate my life.,2
want to drop out,2
need sleep,1
im tired.,1
help me!!!,2
im done,2
i feel great,0
ready for the test.,0
slept well.,0
cant focus.,1
feeling solid,0
deadline soon!!!,1
rushing,1
ready for the test,0
scared of failing.,1
too much homework,1
deadline soon.,1
all good,0
grinding.,1
feeling solid.,0
empty.,2
stressed out!!!,1
help me,2
doing okay!!!,0
scared of failing,1
scared of failing.,1
all good,0
feeling solid,0
not stressed!!!,0
cant do this anymore,2
so depressed.,2
broken!!!,2
so depressed.,2
not stressed.,0
stressed out.,1
empty,2
failed everything.,2
slept well,0
broken.,2
easy day!!!,0
busy week.,1
failed everything,2
finished my hw,0
coffee addict.,1
numb!!!,2
i give up.,2
i feel great.,0
easy day.,0
help me!!!,2
watching netflix.,0
help me.,2
hate my life.,2
doing okay.,0
need sleep.,1
busy week!!!,1
up all night.,1
cant focus.,1
all good.,0
deadline soon.,1
crying!!!,2
im good.,0
chilling.,0
love this class,0
grinding,1
love this class,0
broken,2
numb.,2
balanced life.,0
balanced life,0
numb.,2
head hurts.,1
finished my hw,0
failed everything,2
failed everything.,2
slept well.,0
numb.,2
failed everything,2
up all night,1
anxious.,1
im tired.,1
up all night!!!,1
so tired.,1
i feel great.,0
rushing.,1
balanced life,0
numb.,2
finished my hw!!!,0
help me,2
watching netflix,0
numb.,2
watching netflix,0
busy week.,1
i give up,2
nothing matters.,2
help me.,2
ready for the test.,0
collapsing,2
im tired,1
help me.,2
finished my hw,0
numb,2
up all night.,1
anxious,1
too much homework,1
deadline soon.,1
need sleep.,1
love this class.,0
hate my life!!!,2
busy week,1
balanced life.,0
numb,2
nothing matters.,2
so depressed!!!,2
want to drop out,2
coffee addict,1
i give up,2
stressed out,1
so depressed.,2
feeling solid!!!,0
chilling!!!,0
want to drop out.,2
finished my hw,0
feeling solid.,0
no energy.,2
happy.,0
collapsing.,2
failed everything.,2
up all night,1
easy day,0
stressed out,1
feeling solid!!!,0
hate my life,2
feeling solid,0
chilling,0
happy.,0
help me,2
help me,2
scared of failing,1
im done,2
im done.,2
head hurts.,1
head hurts.,1
busy week,1
im done,2
doing okay.,0
happy.,0
balanced life,0
not stressed.,0
need sleep.,1
watching netflix,0
easy day,0
im good!!!,0
i feel great.,0
balanced life.,0
all good.,0
i give up,2
slept well.,0
all good,0
doing okay,0
ready for the test,0
all good.,0
so depressed!!!,2
slept well,0
want to drop out.,2
empty,2
need sleep!!!,1
rushing.,1
scared of failing.,1
balanced life,0
grinding.,1
need sleep.,1
im done,2
no energy,2
balanced life.,0
scared of failing.,1
want to drop out,2
stressed out,1
so depressed,2
hate my life,2
stressed out!!!,1
not stressed.,0
so depressed,2
im done.,2
ready for the test,0
rushing.,1
crying.,2
anxious.,1
so depressed.,2
watching netflix.,0
so depressed.,2
head hurts.,1
doing okay,0
ready for the test,0
deadline soon!!!,1
head hurts,1
head hurts.,1
busy week,1
grinding.,1
so tired.,1
want to drop out.,2
grinding,1
easy day,0
help me.,2
chilling.,0
doing okay,0
numb,2
deadline soon,1
head hurts.,1
collapsing.,2
busy week.,1
numb!!!,2
stressed out,1
doing okay,0
not stressed,0
not stressed.,0
failed everything,2
numb,2
watching netflix.,0
anxious,1
failed everything,2
all good,0
so depressed.,2
busy week,1
im good.,0
need sleep.,1
numb.,2
numb,2
so depressed,2
anxious,1
finished my hw,0
rushing,1
i give up,2
scared of failing.,1
empty,2
busy week.,1
anxious.,1
nothing matters.,2
head hurts.,1
i give up.,2
too much homework,1
so tired,1
empty.,2
numb.,2
im done,2
failed everything.,2
need sleep.,1
too much homework,1
hate my life.,2
busy week.,1
love this class!!!,0
im good.,0
numb.,2
nothing matters!!!,2
cant focus,1
all good,0
nothing matters!!!,2
i give up,2
im done,2
chilling,0
help me,2
not stressed.,0
watching netflix,0
cant focus.,1
numb.,2
no energy,2
im good!!!,0
scared of failing.,1
i feel great.,0
im good.,0
collapsing,2
im good,0
head hurts.,1
scared of failing.,1
doing okay,0
collapsing,2
so depressed.,2
want to drop out,2
nothing matters.,2
i give up!!!,2
easy day!!!,0
empty.,2
so depressed,2
im tired.,1
stressed out,1
broken.,2
no energy,2
deadline soon,1
im tired,1
help me.,2
so tired,1
cant focus.,1
grinding,1
no energy.,2
crying.,2
want to drop out.,2
slept well.,0
deadline soon,1
chilling,0
help me,2
empty!!!,2
deadline soon.,1
want to drop out,2
finished my hw,0
hate my life.,2
happy,0
busy week,1
head hurts.,1
crying!!!,2
anxious,1
i give up,2
feeling solid.,0
slept well.,0
so depressed.,2
no energy.,2
empty.,2
collapsing.,2
happy.,0
love this class.,0
so tired,1
easy day.,0
watching netflix,0
doing okay.,0
grinding!!!,1
rushing,1
want to drop out,2
no energy,2
balanced life,0
rushing.,1
want to drop out.,2
im tired.,1
balanced life,0
empty,2
help me.,2
i feel great.,0
crying.,2
feeling solid,0
so tired,1
failed everything,2
up all night,1
nothing matters,2
im done.,2
feeling solid,0
rushing,1
so tired.,1
cant do this anymore,2
want to drop out.,2
i feel great.,0
so tired.,1
cant do this anymore,2
coffee addict.,1
love this class.,0
need sleep,1
no energy.,2
doing okay.,0
cant do this anymore!!!,2
nothing matters,2
empty,2
want to drop out!!!,2
chilling,0
feeling solid,0
up all night.,1
nothing matters!!!,2
numb,2
rushing.,1
so depressed.,2
i give up!!!,2
slept well,0
balanced life,0
not stressed,0
crying,2
cant focus.,1
need sleep.,1
watching netflix.,0
collapsing.,2
easy day,0
head hurts,1
nothing matters,2
i feel great.,0
easy day,0
need sleep.,1
im good.,0
collapsing!!!,2
help me!!!,2
love this class,0
rushing,1
cant do this anymore.,2
easy day.,0
watching netflix.,0
crying!!!,2
cant focus,1
want to drop out.,2
not stressed.,0
i feel great,0
up all night.,1
coffee addict,1
anxious.,1
love this class.,0
stressed out,1
so tired,1
numb.,2
slept well,0
coffee addict,1
anxious.,1
want to drop out,2
stressed out!!!,1
hate my life!!!,2
i give up.,2
cant focus.,1
scared of failing.,1
scared of failing.,1
busy week,1
head hurts.,1
numb,2
busy week!!!,1
collapsing.,2
crying.,2
grinding.,1
too much homework.,1
easy day!!!,0
slept well.,0
busy week.,1
need sleep.,1
coffee addict,1
stressed out.,1
scared of failing!!!,1
balanced life,0
help me.,2
scared of failing.,1
easy day.,0
broken.,2
grinding!!!,1
head hurts.,1
